Year,Film,Nominee,Winner
1985,Witness,"Screenplay: William Kelley & Earl W. Wallace; Story: Kelley, E. Wallace & Pamela Wallace ‡",TRUE
1985,Back to the Future,Bob Gale & Robert Zemeckis,FALSE
1985,Brazil,"Terry Gilliam, Charles McKeown & Tom Stoppard",FALSE
1985,The Official Story,Aída Bortnik & Luis Puenzo,FALSE
1985,The Purple Rose of Cairo,Woody Allen,FALSE
1986,Hannah and Her Sisters,Woody Allen‡,TRUE
1986,Crocodile Dundee,"Screenplay: John Cornell, Paul Hogan & Ken Shadie; Story: Hogan",FALSE
1986,My Beautiful Laundrette,Hanif Kureishi,FALSE
1986,Platoon,Oliver Stone,FALSE
1986,Salvador,Richard Boyle & Stone,FALSE
1987,Moonstruck,John Patrick Shanley‡,TRUE
1987,"Au Revoir Les Enfants (Goodbye, Children)",Louis Malle,FALSE
1987,Broadcast News,James L. Brooks,FALSE
1987,Hope and Glory,John Boorman,FALSE
1987,Radio Days,Woody Allen,FALSE
1988,Rain Man,Screenplay: Ronald Bass & Barry Morrow; Story: Morrow ‡,TRUE
1988,Big,Gary Ross & Anne Spielberg,FALSE
1988,Bull Durham,Ron Shelton,FALSE
1988,A Fish Called Wanda,Screenplay: John Cleese; Story: Cleese & Charles Crichton,FALSE
1988,Running on Empty,Naomi Foner Gyllenhaal,FALSE
1989,Dead Poets Society,Tom Schulman‡,TRUE
1989,Crimes and Misdemeanors,Woody Allen,FALSE
1989,Do the Right Thing,Spike Lee,FALSE
1989,"Sex, Lies, and Videotape",Steven Soderbergh,FALSE
1989,When Harry Met Sally...,Nora Ephron,FALSE
1990,Ghost,Bruce Joel Rubin‡,TRUE
1990,Alice,Woody Allen,FALSE
1990,Avalon,Barry Levinson,FALSE
1990,Green Card,Peter Weir,FALSE
1990,Metropolitan,Whit Stillman,FALSE
1991,Thelma & Louise,Callie Khouri‡,TRUE
1991,Boyz n the Hood,John Singleton,FALSE
1991,Bugsy,James Toback,FALSE
1991,The Fisher King,Richard LaGravenese,FALSE
1991,Grand Canyon,Lawrence Kasdan & Meg Kasdan,FALSE
1992,The Crying Game,Neil Jordan‡,TRUE
1992,Husbands and Wives,Woody Allen,FALSE
1992,Lorenzo's Oil,Nick Enright & George Miller,FALSE
1992,Passion Fish,John Sayles,FALSE
1992,Unforgiven,David Peoples,FALSE
1993,The Piano,Jane Campion‡,TRUE
1993,Dave,Gary Ross,FALSE
1993,In the Line of Fire,Jeff Maguire,FALSE
1993,Philadelphia,Ron Nyswaner,FALSE
1993,Sleepless in Seattle,"Screenplay: Jeff Arch, Nora Ephron & David S. Ward; Story: Arch",FALSE
1994,Pulp Fiction,Screenplay: Quentin Tarantino; Story: Roger Avary & Tarantino ‡,TRUE
1994,Bullets over Broadway,Woody Allen & Douglas McGrath,FALSE
1994,Four Weddings and a Funeral,Richard Curtis,FALSE
1994,Heavenly Creatures,Peter Jackson & Frances Walsh,FALSE
1994,Three Colours: Red,Krzysztof Kieślowski & Krzysztof Piesiewicz,FALSE
1995,The Usual Suspects,Christopher McQuarrie‡,TRUE
1995,Braveheart,Randall Wallace,FALSE
1995,Mighty Aphrodite,Woody Allen,FALSE
1995,Nixon,"Stephen J. Rivele, Oliver Stone & Christopher Wilkinson",FALSE
1995,Toy Story,"Screenplay: Joel Cohen, Alec Sokolow, Andrew Stanton & Joss Whedon; Story: Pete Docter, John Lasseter, Joe Ranft & Stanton",FALSE
1996,Fargo,Coen Brothers‡,TRUE
1996,Jerry Maguire,Cameron Crowe,FALSE
1996,Lone Star,John Sayles,FALSE
1996,Secrets & Lies,Mike Leigh,FALSE
1996,Shine,Screenplay: Jan Sardi; Story: Scott Hicks,FALSE
1997,Good Will Hunting,Ben Affleck & Matt Damon‡,TRUE
1997,As Good as It Gets,Screenplay: Mark Andrus & James L. Brooks; Story: Andrus,FALSE
1997,Boogie Nights,Paul Thomas Anderson,FALSE
1997,Deconstructing Harry,Woody Allen,FALSE
1997,The Full Monty,Simon Beaufoy,FALSE
1998,Shakespeare in Love,Marc Norman & Tom Stoppard‡,TRUE
1998,Bulworth,Screenplay: Warren Beatty & Jeremy Pikser; Story: Beatty,FALSE
1998,Life Is Beautiful,Roberto Benigni & Vincenzo Cerami,FALSE
1998,Saving Private Ryan,Robert Rodat,FALSE
1998,The Truman Show,Andrew Niccol,FALSE
1999,American Beauty,Alan Ball‡,TRUE
1999,Being John Malkovich,Charlie Kaufman,FALSE
1999,Magnolia,Paul Thomas Anderson,FALSE
1999,The Sixth Sense,M. Night Shyamalan,FALSE
1999,Topsy-Turvy,Mike Leigh,FALSE
2000,Almost Famous,Cameron Crowe‡,TRUE
2000,Billy Elliot,Lee Hall,FALSE
2000,Erin Brockovich,Susannah Grant,FALSE
2000,Gladiator,"Screenplay: David Franzoni, John Logan & William Nicholson; Story: Franzoni",FALSE
2000,You Can Count on Me,Kenneth Lonergan,FALSE
2001,Gosford Park,Julian Fellowes‡,TRUE
2001,Amélie,Screenplay: Jean-Pierre Jeunet & Guillaume Laurant; Dialogue: Laurant,FALSE
2001,Memento,Screenplay: Christopher Nolan; Story: Jonathan Nolan,FALSE
2001,Monster's Ball,Milo Addica & Will Rokos,FALSE
2001,The Royal Tenenbaums,Wes Anderson & Owen Wilson,FALSE
2002,Talk to Her,Pedro Almodóvar‡,TRUE
2002,Far from Heaven,Todd Haynes,FALSE
2002,Gangs of New York,"Screenplay: Jay Cocks, Kenneth Lonergan & Steven Zaillian; Story: Cocks",FALSE
2002,My Big Fat Greek Wedding,Nia Vardalos,FALSE
2002,Y Tu Mamá También,Alfonso & Carlos Cuarón,FALSE
2003,Lost in Translation,Sofia Coppola‡,TRUE
2003,The Barbarian Invasions,Denys Arcand,FALSE
2003,Dirty Pretty Things,Steven Knight,FALSE
2003,Finding Nemo,"Screenplay: Bob Peterson, David Reynolds & Andrew Stanton; Story: Stanton",FALSE
2003,In America,"Jim, Kirsten & Naomi Sheridan",FALSE
2004,Eternal Sunshine of the Spotless Mind,"Screenplay: Charlie Kaufman; Story: Pierre Bismuth, Michel Gondry & Kaufman ‡",TRUE
2004,The Aviator,John Logan,FALSE
2004,Hotel Rwanda,Terry George & Keir Pearson,FALSE
2004,The Incredibles,Brad Bird,FALSE
2004,Vera Drake,Mike Leigh,FALSE
2005,Crash,Screenplay: Paul Haggis & Bobby Moresco; Story: Haggis ‡,TRUE
2005,"Good Night, and Good Luck",George Clooney & Grant Heslov,FALSE
2005,Match Point,Woody Allen,FALSE
2005,The Squid and the Whale,Noah Baumbach,FALSE
2005,Syriana,Stephen Gaghan,FALSE
2006,Little Miss Sunshine,Michael Arndt‡,TRUE
2006,Babel,Guillermo Arriaga,FALSE
2006,Letters from Iwo Jima,Screenplay: Iris Yamashita; Story: Paul Haggis & Yamashita,FALSE
2006,Pan's Labyrinth,Guillermo del Toro,FALSE
2006,The Queen,Peter Morgan,FALSE
2007,Juno,Diablo Cody‡,TRUE
2007,Lars and the Real Girl,Nancy Oliver,FALSE
2007,Michael Clayton,Tony Gilroy,FALSE
2007,Ratatouille,"Screenplay: Brad Bird; Story: Bird, Jim Capobianco & Jan Pinkava",FALSE
2007,The Savages,Tamara Jenkins,FALSE
2008,Milk,Dustin Lance Black‡,TRUE
2008,Frozen River,Courtney Hunt,FALSE
2008,Happy-Go-Lucky,Mike Leigh,FALSE
2008,In Bruges,Martin McDonagh,FALSE
2008,WALL-E,Screenplay: Jim Reardon & Andrew Stanton; Story: Pete Docter & Stanton,FALSE
2009,The Hurt Locker,Mark Boal‡,TRUE
2009,Inglourious Basterds,Quentin Tarantino,FALSE
2009,The Messenger,Alessandro Camon & Oren Moverman,FALSE
2009,A Serious Man,Coen Brothers,FALSE
2009,Up,"Screenplay: Pete Docter & Bob Peterson; Story: Docter, Peterson & Tom McCarthy",FALSE
2010,The King's Speech,David Seidler‡,TRUE
2010,Another Year,Mike Leigh,FALSE
2010,The Fighter,"Screenplay: Eric Johnson, Scott Silver & Paul Tamasy; Story: Keith Dorrington, Johnson & Tamasy",FALSE
2010,Inception,Christopher Nolan,FALSE
2010,The Kids Are All Right,Stuart Blumberg & Lisa Cholodenko,FALSE
2011,Midnight in Paris,Woody Allen‡,TRUE
2011,The Artist,Michel Hazanavicius,FALSE
2011,Bridesmaids,Annie Mumolo & Kristen Wiig,FALSE
2011,Margin Call,J. C. Chandor,FALSE
2011,A Separation,Asghar Farhadi,FALSE
2012,Django Unchained,Quentin Tarantino‡,TRUE
2012,Amour,Michael Haneke,FALSE
2012,Flight,John Gatins,FALSE
