Year,Film,Nominee,Winner,id
1996,Shine,Jan Sardi,FALSE,bafta-bosp.csv
1997,Nil by Mouth,Gary Oldman,TRUE,bafta-bosp.csv
1997,Boogie Nights,Paul Thomas Anderson,FALSE,bafta-bosp.csv
1997,The Full Monty,Simon Beaufoy,FALSE,bafta-bosp.csv
1997,Mrs Brown,Jeremy Brock,FALSE,bafta-bosp.csv
1998,The Truman Show,Andrew Niccol,TRUE,bafta-bosp.csv
1998,Elizabeth,Michael Hirst,FALSE,bafta-bosp.csv
1998,Life Is Beautiful,Roberto Benigni and Vincenzo Cerami,FALSE,bafta-bosp.csv
1998,Shakespeare in Love,Marc Norman and Tom Stoppard,FALSE,bafta-bosp.csv
1999,Being John Malkovich,Charlie Kaufman,TRUE,bafta-bosp.csv
1999,All About My Mother,Pedro Almodóvar,FALSE,bafta-bosp.csv
1999,American Beauty,Alan Ball,FALSE,bafta-bosp.csv
1999,The Sixth Sense,M. Night Shyamalan,FALSE,bafta-bosp.csv
1999,Topsy-Turvy,Mike Leigh,FALSE,bafta-bosp.csv
2000,Almost Famous,Cameron Crowe,TRUE,bafta-bosp.csv
2000,Billy Elliot,Lee Hall,FALSE,bafta-bosp.csv
2000,Erin Brockovich,Susannah Grant,FALSE,bafta-bosp.csv
2000,Gladiator,"David Franzoni, John Logan and William Nicholson",FALSE,bafta-bosp.csv
2000,"O Brother, Where Art Thou?",Joel Coen and Ethan Coen,FALSE,bafta-bosp.csv
2001,Amélie,Jean-Pierre Jeunet and Guillaume Laurant,TRUE,bafta-bosp.csv
2001,Gosford Park,Julian Fellowes,FALSE,bafta-bosp.csv
2001,Moulin Rouge!,Baz Luhrmann and Craig Pearce,FALSE,bafta-bosp.csv
2001,The Others,Alejandro Amenábar,FALSE,bafta-bosp.csv
2001,The Royal Tenenbaums,Wes Anderson and Owen Wilson,FALSE,bafta-bosp.csv
2002,Talk to Her,Pedro Almodóvar,TRUE,bafta-bosp.csv
2002,Y tu mamá también,Alfonso Cuarón and Carlos Cuarón,FALSE,bafta-bosp.csv
2002,Dirty Pretty Things,Steven Knight,FALSE,bafta-bosp.csv
2002,Gangs of New York,"Jay Cocks, Steven Zaillian and Kenneth Lonergan",FALSE,bafta-bosp.csv
2002,The Magdalene Sisters,Peter Mullan,FALSE,bafta-bosp.csv
2003,The Station Agent,Tom McCarthy,TRUE,bafta-bosp.csv
2003,21 Grams,Guillermo Arriaga,FALSE,bafta-bosp.csv
2003,The Barbarian Invasions,Denys Arcand,FALSE,bafta-bosp.csv
2003,Finding Nemo,"Bob Peterson, David Reynolds and Andrew Stanton",FALSE,bafta-bosp.csv
2003,Lost in Translation,Sofia Coppola,FALSE,bafta-bosp.csv
2004,Eternal Sunshine of the Spotless Mind,Charlie Kaufman,TRUE,bafta-bosp.csv
2004,The Aviator,John Logan,FALSE,bafta-bosp.csv
2004,Collateral,Stuart Beattie,FALSE,bafta-bosp.csv
2004,Ray,James L. White,FALSE,bafta-bosp.csv
2004,Vera Drake,Mike Leigh,FALSE,bafta-bosp.csv
2005,Crash,Paul Haggis and Bobby Moresco,TRUE,bafta-bosp.csv
2005,Cinderella Man,Akiva Goldsman and Cliff Hollingsworth,FALSE,bafta-bosp.csv
2005,"Good Night, and Good Luck",George Clooney and Grant Heslov,FALSE,bafta-bosp.csv
2005,Hotel Rwanda,Terry George and Keir Pearson,FALSE,bafta-bosp.csv
2005,Mrs Henderson Presents,Martin Sherman,FALSE,bafta-bosp.csv
2006,Little Miss Sunshine,Michael Arndt,TRUE,bafta-bosp.csv
2006,Babel,Guillermo Arriaga,FALSE,bafta-bosp.csv
2006,Pan's Labyrinth,Guillermo del Toro,FALSE,bafta-bosp.csv
2006,The Queen,Peter Morgan,FALSE,bafta-bosp.csv
